Job_titles,Hiring_companies,Locations,Job_types,Job_links
"Senior Developer, Trilogy (Remote) - $60,000/year USD",Crossover,"Addis Ababa, Addis Ababa, Ethiopia",Remote,https://www.linkedin.com/jobs/view/4196448550/?eBP=CwEAAAGV-8Mps0FjQDSllgMQT7Sjx1Y0eAHW7mZJ641Ie3Gz9HR_fMNI_P-j0FZkuJPFfVMyxa21LqNiYNP1AFy9duT8w9ON-2DVX_MOKm8xCm3Uz1M4-uyMXjXOym7NF2R5o91JGNEaF78YH693pjl6v5Tr5HPLhJgWEk3eg5LvzR13bTX6Ggr8d-TjUA3wXtwCyV_Z0aJAISRHaGBiy_N335KvdUQO6NXReU1k7An6qOM28Z1sFTtfsn6V_nDBKGhQrP2aCaQTGe1_xm7qjEyRlOJEEAXBdVSlMQSvPQuc55H8G6cE0YHph_b_UkFNGs-3_k3nqIE5JQFAXGu-a_QlsD9tWTHNoQnSxJUxF6wCwrnCwPcFWEjfHPpc9SSCpw3RqqW9jR2ajBtryo9BQ5n1K9O0d9za4pnIwszAcCw5hDLq81Cj0k_jFFOBZALQBoRGWwiTCQWCyxYA8STDbxJuxuQDm1U5xRhDxLmypUi07jZStfe6BX0tXuTJc8zqrLg7CKpSq8zOpk-p_nJC0AupDpk&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=ecOMlxGXT13k40BGzoYhzQ%3D%3D&trk=flagship3_search_srp_jobs
Telecom Site Engineer,ZTE (H.K) Limited Ethiopian Branch,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197271538/?eBP=BUDGET_EXHAUSTED_JOB&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=%2B2uFvyocVijGNmyekTQPZA%3D%3D&trk=flagship3_search_srp_jobs
Slider Revolution Expert,GoFound SEO,Ethiopia,Remote,https://www.linkedin.com/jobs/view/4198010273/?eBP=CwEAAAGV-8Mps_uxeWnd-SHIfTRAukPDKTeU-gqNbGu-Cd3ojIW0qK7xNX7UU38LQMho1G_MXw-dY2a_NweMfjrvKYkIMhOxjoexEmOkBU9wN4S4aNexFVQU4Tnt-Bh4rKYQyEBMru2ni4mO4a8oBeKdeV_BwQYbrhcHXc-_qq9t10cGXphRP-lnqL_iud0D2I0whoWBA3u8-8j1-PBC-fA-qtpWh4MV0MsXREKWPKyJTdDFwxxHQ8itolOUiOkpguWTVPABQwO6DONhxyDpYHdocBnpCAppvjeO0I8A8ad-MMFcdz8TgxnXJYE4tIbkyKL74le1DYawwyCR_2ssdvN1fSrv4X95DXFEq-LjV9AeY6f_ubhcUJJuPRYo5a_qTKnXzWbu1TZleqfGunqyOkSlNbpxoH5iKc9URmxXBgP_oAKBvxH2y6kGAbCQhXdHnhkMyR9wOaWRFH1v0IvFgZI&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=U21fIgYKqfrezBN%2B%2BBnlqQ%3D%3D&trk=flagship3_search_srp_jobs
Software Engineer,Sensay,EMEA,Remote,https://www.linkedin.com/jobs/view/4197859255/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=8LTpRtembCiaz6YfEd%2FWCg%3D%3D&trk=flagship3_search_srp_jobs
Market System Development (MSD) Advisor,SNV,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4199595863/?eBP=CwEAAAGV-8Mps9weWosn92GwxA6aulT-01qz-_g4vjGMlUcAgNSlV5BrvYq6hQTiI4HCXQ69qhG5EA7sbXHGhRDBjH5KQ5s7PIqPb7vZiu8gEo4cTLava9udj1q_gqHulwNo1AEGj1Cfy-jFwjBSX1DIBmp-MgwCwm_qa9YO70r211CfP9ug-Fk0o4J6kNzx93z3Srjh2WIWJNgSQnAopSq8hAVjzN0UdHPMmIOXETzqgMztvR-QymSqDdoH7hNu9sqTsEALuaro6pzFeo5GScFh6EBgGuDI_-R1OuiUU-tGr1WyIn1-52fEu7CXEwDQH--9IGE_s7G61AZg_G_Gb7tTzBQNSgiq_eWZ_6hjHY_5PABSPDyPtajo8-_4xwxnc0SC82On_HnpF82fhI-50ynUao7Dcj_7WtxpEcKQdN0S9LtqHbNs_R33MPNQQw9WcGzlF-SVLEvrBq0LgVw4JLJfoQ&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=PshgDOKWc8Xuv20EOyWEtw%3D%3D&trk=flagship3_search_srp_jobs
Slider Revolution Expert,GoFound SEO,Ethiopia,Remote,https://www.linkedin.com/jobs/view/4198010273/?eBP=CwEAAAGV-8MwszzrGP3kng0toDHu1uPNAsngZWJqHNC4GOGmmffTqWujt5ivqboLBLK4Y4srl7jWpiUszCOtIMwVn6HdjdvW03_gmadRv23yUTV-s2gHVXX7kNZJbr70lq5gJT9GjLbGvRhdOOgsKYQjnSj7fQ93nib03vF4gjKFYqFnQY9lvN9YnqtrJFId1CmqZlFaQW0oPFoxUkHDvwNJcFO8LNW2dtfZU2BE9LYZIYLi80D-tTO39SNmHeNaJgRCvXd_hIJyCpP_oC5hrjiyOkNB_tKZ_lipUAwCD1hhjZ2dJL5AWwjeKQ9dhZp91de5dlVdQEQJ9QF78Rovo2LP05ZXu8LdnDk2_RzfvYynnw2f-kAi_gcyDisvKb7_wby62-F5yI-LFYPsLR8B9GqQ17_zveuSyzfzWS1WpmnnrcNSzxC8-3dRjwgl9mj0zPdmSiqC2eTckDf7GA&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=2Jga61%2BM6UI2Rqb2rlacGw%3D%3D&trk=flagship3_search_srp_jobs
Software Engineer,Sensay,EMEA,Remote,https://www.linkedin.com/jobs/view/4197859255/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=AjNuxAz6zmr%2Bl0KmzxUPzw%3D%3D&trk=flagship3_search_srp_jobs
Market System Development (MSD) Advisor,SNV,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4199595863/?eBP=CwEAAAGV-8MwsznKKTaewCBcAj1sIR5BMKVk_-3MNQZdWeLoX1EdMDN1Y4bqXILodseZCQoVKrSOq3ctqrQhGDeWf66LUlm2qkBgyQa-O3LpQZGV6PDhJBCBSKAL__WJVZMuZiH4Qka81BsoFu6IocnHKIvaVkqHPC1MC2BVxPhbJ_7-EsZTGfwohxmg0UUwFXzo5FwTWAH_8zOlUfRpHN8R0c9VSN8sRmegydIrpVS_5FRWndN-VHBU8E7cMu47f-ErlQS8-iN4D15yQQR212Bnjn2uSqcPrydX6rQprV6jqxmoaj5rgHr56ynnt-Emwdolvs22nIb_jY4Y4uMxZ3xmyPYXRGRM9N2L6ZEkQiOvMK8Df3_uYMhsfK5IM5vIBLuZhxpXGx2UihIk9jG0EzVgpjPgJ3hSehoVQHA4ZlB3P-FHUTeYXJ5mCjU-H4V5F5ztbu4OlvIBPpvKDQ&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=%2F%2B7CbawhHL7bPB2r5ktaAA%3D%3D&trk=flagship3_search_srp_jobs
Power planning and design supervisor,Addis Ababa,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4199204212/?eBP=CwEAAAGV-8Mws82ujWukB1b6CVZoJL-GZMUgifD-zypHiCaR0bnwGoOwVNFArlGqfY7rV3vFe4HGki3Rh3bZs9OCyGU8WWLq_PeFpuGgjeoWRRt0e1kEvPyHBGIhl-6owqvLAoLBRo_6Cng9yfr70qnfzWtD2fI3wudPUc5wF_Edf01CjuG3HxBlyKXF3Lc4ASIwpOycY2BRZl7cisV-SP-F_bsszOb8Z_aqZUbbw8gBxUJCPJnx63rV8R7gSdnT_daSOG_5Ohx9hZ67uA1XAA2pEH-KeeBQZ5Og5P9zn7rFPitP9NhNPPSr9IDF0KhosTwJwi8ugkNVjYhEMts1G0N2U0e5F9peRm6RBkxiTQHLD40_Y3atkW3i-EKoBmsa527dcFTGdg2z6__wc3BwWyQP4Aj7YSFmRTN_l_q5sJ3fy1JyY5C3Yf8fw9HSvWunBToXSnf74kaD9Lk2sTZuLa8&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=whGgygix3fKF9vY7ickR2A%3D%3D&trk=flagship3_search_srp_jobs
Warehouse Coordinator,Lesaffre,"Alem Gena, Oromia Region, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197666711/?eBP=CwEAAAGV-8Mws3QR46HQXlmU9cGMZrJyYJjVJULxIFL_DS79d7TaGOVq4ePr4FF5azfQC0uLHKlgOQtW2tEMXpbiFh-K4hOW4tINSLiqkHJq9vloMxTuocFhOfesHolfhjifH5CheUNjAi32u41Wv2W1DLDDVSHjE1T3CWwL-MW8D8X2mtd-eKOG75St7I1sfrHr029dcme_9jMEIThrlLBBWSbE1kwuKyL7rEDf9BoPYh43ftG-NI8Ns1krrYWmnTF6m7GhIt1MK9Vw_WC_Is2bq-xRPikjtU7L9woeXsQgt0gFPWXbTBOACNg-ekYdULJ14CMwJUWkpE--vrfRvkP4_qrO0-3ymn0v8urDfDLPzW7dWujRAf_AbXNePK0mifdr758bfa0Z5I8SoU30yl8V91g4lwvmCO-SobAMNgOawN45aaQzbus2d7lKisLBL2cxCLJZIdudh63AeNnIqQU&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=8BpMSyUINBTyVty3yfp99A%3D%3D&trk=flagship3_search_srp_jobs
Web Developer,Canonical,EMEA,Remote,https://www.linkedin.com/jobs/view/4182016523/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=Dat81wTbfvcSKdXU%2BVfudw%3D%3D&trk=flagship3_search_srp_jobs
PixieBrix Developer - Low code Engineer - AI Team,Foundever,EMEA,Remote,https://www.linkedin.com/jobs/view/4199868023/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=x4FB6bdcD1%2FF5Br3cpz4KA%3D%3D&trk=flagship3_search_srp_jobs
ICT Analyst - Fullstack AI Engineer,UNOPS,EMEA,Remote,https://www.linkedin.com/jobs/view/4191198648/?eBP=BUDGET_EXHAUSTED_JOB&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=VeT3lYkhj3fT21APQasC5Q%3D%3D&trk=flagship3_search_srp_jobs
Back End Developer (remote),HiCareer,EMEA,Remote,https://www.linkedin.com/jobs/view/4196123578/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=hb2kxRnnQXybbfUd87ULYg%3D%3D&trk=flagship3_search_srp_jobs
Senior Python Developer,Squirro,EMEA,Remote,https://www.linkedin.com/jobs/view/4199805223/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=AxUvVzf53bLTiTO5pWJLPw%3D%3D&trk=flagship3_search_srp_jobs
Dynamics 365 F&O Analyst Programmer (Relocate to Malta/Big 4),Black Pen Recruitment,EMEA,Remote,https://www.linkedin.com/jobs/view/4199547765/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=w%2Fo7fxRrzEdr7Glb%2Fqugwg%3D%3D&trk=flagship3_search_srp_jobs
International Consultant - GIMAC Network Coordinator,UN Women,Ethiopia,N/A,https://www.linkedin.com/jobs/view/4197849820/?eBP=CwEAAAGV-8Mws3aaMkmtVAfWAaEDthrdDNs3dZptOWYGa27BFHygcmW6SDLA0f3Dv0QfiEZXVjzJVMPTMa2m6QD9rZ11RGbf2_87tNc-oZVzOyBHgnue4hAZmgxDl6R_IUmWGCKwr9-35RxC_zsuhs77qIkHBMvt7whz-9slHO2LegY2mAtR-24D4jrVRa9yEDbyW-eQ5q8fPOnl7tUXwVYcaWKfNLH0Zab4fh4LdI6Pf9cbEGJhHkHdvRtXH8m3Z1oD1KEINFLiiGUeQTMO0wX_TOdLG1WQB8-01EjQio1QZzgPzp4afq0S-AG9SQy65iStY7Pn0hdeZmzvdbOppGW88Xc6kMyJUlQavwSNoCL3edQGHcE6jLSREEzBFK6jnEUTkz_WiiLzCGPn6afkCF43kLGm2RMwMvJgT5eplNy8kLjNIBkzG5TMTG_jd3rb1F2L_fScW0I75gud8r5RNSgVAR_Gl-C-y-ORoAMo&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=Oqz34QCQYQPFgtlf1OrGtg%3D%3D&trk=flagship3_search_srp_jobs
Global Partnership Coordinator*,Welthungerhilfe (WHH),"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197046531/?eBP=CwEAAAGV-8Mws5GAdBQsswc1jWb79WHFII0hlMxc_ak-2-oWgcFPQADTmKM0fcUSvvsCTy8zXIFlDY-YdC-8Sd65mlG2JeYLEApa8ldq58kyIQKnRTwixtMF74Pw_FCVqaSJVC2vRmRFA5mYqCVYhUaEbNAKtbE09FJhNV4MD4BLKbUSVzMn2Qp_mhiGkFg-EBvcrb0R3mkCJqgD4egPzgXk0Dxmy4WMuEDOswR6BSHdmo7so92GIAlPb7V-wztok9AV1BdXGS_BLq1BETU-tjKbV8h-5zWInBvqZXTUyQ42XuN26bTid-RD2Z_v3W-qCxTSO2O7rBDpAnkp1hMviBhzuRlBPBu7mq7a7HeXibiDa5rT_9i-dmiAJ81kaf0q4laAhZ9Y6ojWs-gxdL-oJ5uP7-SdmMCHh4yX7KkHNpdP3XTjNHHYoloVbn97DkqlrzS4y17Vey7I_ZrIY_paZRPRUcdX9jEhmERBPQ&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=JmXh6MxoLHFkKHsCiRUU2w%3D%3D&trk=flagship3_search_srp_jobs
ABAS ERP-ANWENDUNGSENTWICKLER M/W/D,Th. Geyer Ingredients GmbH & Co. KG,"Bike, Somali Region, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197873622/?eBP=CwEAAAGV-8Mws5_XnBRMSlosHdl-cjUtPLNGzfXAqh9uVMY0sc32QcmHVC4sYkKyXOZbSjyjq64Xw9T3_IJR83RPoV05emN1b1Gqps729vCJR5t7eFJpNM66nyjeOJ3OX7j3ekOQCjfCejG6QfTwWGnQJk_8XfNLuMbpLHazmjjIefghS2zxsHicctWfoGrimLM4jM73nsEFc_orWnyOxUbSMsGp25BBwBOHLAV3OyQpiRfAZSIlnGxjZF4Bo6DwP6B9NMNCLkV3Xuseiy539SNlzF01W85YV94o_-ohjkdfOobzIRzWKQuvf_fEmy5AkpriD1_hAWmahngeuqGW7QZ_iAyy3jXcgjGMLb_bM6uhhbWCHaSFE9PG1k2w_TfLts74vPDWbbJIKZqG3S7iEdgHX7mEovzxhrbQy1PW_DDbol1mXhwEsNLK7LDYeOrgVNsoLGsHrR_G_-twkYHWp_s&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=AcXP4ZJaholwAPnKqsvxbw%3D%3D&trk=flagship3_search_srp_jobs
Senior PHP Developer,Imploy,EMEA,Remote,https://www.linkedin.com/jobs/view/4199846594/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=x4ewxgdgv6mMfFF7aX9ZJw%3D%3D&trk=flagship3_search_srp_jobs
Dynatrace Developer,SoftwareOne,EMEA,Remote,https://www.linkedin.com/jobs/view/4196413717/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=YgjwL%2FnikJId2l6Sk1tFuQ%3D%3D&trk=flagship3_search_srp_jobs
Finacial controller,ROB SAMUELSON INTERNATIONAL LIMITED,"Mek'elē, Tigray, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197582172/?eBP=CwEAAAGV-8Mws7ZeZPHdqhoV5bLrpdx51Fmbo59qxalnBMg1oPMEDuiN7j3dpuTMgjEzgWadWYTD6HM8CCLBTzctLrimSGYjk-SCd9ro-muHe6fwHn1zjCr98j7AFO3n_oXyGnBtx7y3MFSU4tP-Td-_LCPJK56eaCqKR7sCnRehXTKW7N4jSuO0qOnksaOzXrz3YqyNWd-uKixJyBFqf3gCZ-N1jHiwI-un_99NSjdf5X_6crbTuaTqllMWvoOVrhK8T2Y_1VDrLRrb_WHfjmL1TSs_KV5laqpwFv9Qd5uAfzla3WiPGIRQCaE1Rky297oXe6dUFolV-oBRJ81Yt1vd-BfMxdKCJzCmKLpe8tzo5Ecj8XYSTmZIuH2SEiLLkekDVBscpveJ75WQsIyuehnXbpMF0_ogDTWJ7NIn_NxhQ7qCXFgI0BoBswidtCe-sis1u8mL4v4Jb2UhoUJk7vpVu5JPhq2xd2UeMjDl4XIPfCFuJqr6_urYUivYg1PxLwC2KTGe44mvabVq-tZm&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=c5wqh3il0H4se5q35KUiYQ%3D%3D&trk=flagship3_search_srp_jobs
Back-End Engineer (Node.js/TypeScript) - EMEA,Deel,EMEA,Remote,https://www.linkedin.com/jobs/view/4196118895/?eBP=BUDGET_EXHAUSTED_JOB&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=MqOYMgrO%2F%2B4olC%2B6zkkfIw%3D%3D&trk=flagship3_search_srp_jobs
TOR Consultant – Building Coaching Capability & Coaching Leaders,Heifer International,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4197594460/?eBP=CwEAAAGV-8Mws4DDEOclNcjWQiY5bdX4Wog9m_IDKMRv5ve9cncvWJAdGvIRSWV2KuXzKJcZHRge4cszgxHDloa0JoZom6WHUPoxc3XM1RIJOf-z-haBu3yThrywIvdIpPF850FWtvLEln16nfubKKOFKQUq3aI2XtwwS65IdJIXvyPbVZBJXS5rz0ZUzyvVZl0vSXPa-hOMUj98XX0Q6yeYWISo9LRqRnM1eMOp-9mGZq_ryxmlAAH-M6s7-40xty2CITLNqm5GN94nBuzj2Ylk8GlBFeVS_9aeRNSC9ScgKK8Eo1mWr4eTK84frZIT3QNo5xZDr_6l-S7-d2SilRBNCK8yXnIdv3rGl0uxpjX8jgVJ5tq6RjIFvVY4CBjv-iDImHZThXRX4b7QoayTcG-fYPAEXXMj79g3RiMN7evHZf6iyGHUNhn6WZypPM_tG2TCuhimTaGBrWggDrp0p2fMrXVg806MSxXltd7Dq0-zjJMouRgtzvBDDOpk9lDMke40HEPyrf_UI3q6&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=U%2F2zyGoAVuzPDkaNeCY3nA%3D%3D&trk=flagship3_search_srp_jobs
"National Consultant: Baseline assessment of Gates Foundation (GF) Testing Mobile Health and Nutrition Clinics project , Addis Ababa, Ethiopia",United Nations Population Fund (UNFPA),"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4196425312/?eBP=CwEAAAGV-8MwtLESbMI1XOzSXIUxSe7dVnpKITC_twjr93JXkU1i-r8cINtGQUqn7cMwjQ9AZAJyq-FAT58vTyl6XBq4pYSic7qzluuvQN_19Y2pHB5yoSboDiM2J7kbrY7-CnD-Y4rBcfg0h8XNIEQEkK6CWlx2aNaoXfyRFRYoA46HtzfZGpu76LD6KTCj86rZuQ_-feG8GwmfAe8zMi35QZRzaWd17vcgztufrzkZzlM3R-anbNNFV15OqQW2u6EprOIQ3K4zp_v7-zyUcJ69aXK-ZGTN7R1_NMshzSMs86K0Bsh8F0K9X-OL_79dyAtMn4Qp9h6g4qgcv-Pkv6_0JJZxwajTtdY2GOpodbMR6S47a93sY-i7xJuSpz_e7Dn9WKzPT-9JM5-oO9aUX0rne31Bn2wARbMvcOIqroJBqmZrZFv7R7-YgJ3n2VK2PZ_tMgoEerqWZwDCQglMBJGIVovbspT1tH_GD1QJ&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=SKQlffulxzHq5A92fStYOg%3D%3D&trk=flagship3_search_srp_jobs
Consortium Director (MYRP II),Save the Children International,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4197820450/?eBP=CwEAAAGV-8MwtM-KLc-sj1bMN8h7P75B1I0FI20GzZQpnAtjplvPcfLKbiDkgNU6nIsqW84y59fneFF4lIMPjKSdl0cAKXoMA_IPgpfK7j8sonI09-3HDiL85HS1aEpMbTZSzSmlQQSFAVq6-ppMk8CAweQiFUEV70kgcrY2Z_-6B22EowZYX0gMyzh647YL39OM9FGeC6XcFb69U7__sR-j0fvq3srm2i0J1P6LIcqXSW_3hLdVGKVkAMwHMUHo2GaNWTbsW1abdu-N5FJnHQEKdULV0pyOMuC_RAlDpfNHiSOGD0TZp-PMvyUsJv-okWJhJ_Bh2k_ebCWqnD85T0iIyfw0O8EO7YeV8-9S8Kn4IDlkBF4t5y22l3eT32SkL91DxbOevuXTOITwbHUn6v9kZ3vr_oTtuYI4q7Hqd_q20OYrijsAsFH1drXemiY_DQeuUrKgvftO6lPrBLguoPHftPYiZL-jncpW9L0oLQ6_GqcVBi1Bius_qtD_R-iJytmPnvJ4ipdQnKNa&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=UjP5Iw5a54Qupvam%2B82QUQ%3D%3D&trk=flagship3_search_srp_jobs
Structural BIM Modeler,ZIAS Architecture and Engineering,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197398463/?eBP=CwEAAAGV-8MwtIfeuCkxDp5obGvBUnduExG4zv7SaVnUeLKAUvCWSjHlN7IwYYhIdh8BYi6Dfb_wnx0Oy6Z1ROcj6KcNLqIiLYcr9F94dT85JIveGjgc6cV9tmXZiXkbyi9ypkea0gKa1z-abL0-nxwMeoRR_QpF6SMPuSpH8bdknxnoV-ZCYCnPaLUkTLe0z34R3pYYGo04zl1xqixWotDwbEhNGgNHdF24qRPX1RUGnGYTFmPlhvthTXVuE8T1wzIB0yoVXgxwd_u-3HirDfRXqfuOgV42tjhCAyG9kaHUUH4Fex6vtLModvAT5fMYIygD9L2tes5YDjg3u14Pt89g6GjPd1fBw4B4Mn-o3H7cxY5TeASXQFys3CEUrDRYyUC_e8WT2nCPpnslVktBQcHuF-8Mre59K_3rYDw8kJR7B8jm_8p1UD-rXJJL_Esj_6y7AtU0lc7GWfBk3cJZ6jAGX4tDf-7OtdI2L7briTatj6wj52PiRhtmlyc56-Rkhw&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=VLJdS0KAucIid5DnKT28TQ%3D%3D&trk=flagship3_search_srp_jobs
Aluminium Cladding Senior Expert,MIDROC Investment Group,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4198004374/?eBP=CwEAAAGV-8MwtMRLFu6PNjL8fTeWNz3EMgKFUhTfgZDQxDFYGi4e_zJjYl3XTkrx6PRYVjEwUgeTXTjjnq7HcHiNAeXD1xHqjjegRzr_CdYzIIDUvILR8X-Be2fw6Z4_A8VGQVKTHDul6Xy_b-hjg3K5lTRRawcC2cdRD7ychkYmGqPPiFQIR9Gtl9ROPCeDn1sZtWNyUCfMUnOv0uPtXAav9FDULjo4iYenyIgUprPajNulRrup15XthTPsd-g1cOIgHn1MSQ-lHJL1wu1I6ewuV_HD_YrXgkf-VDYMw3BsLQ1ADniFU0PYNgNqjXhsw2yfRxi-kIeDEI13T0M2s0jAAUMv-TMrBt_qQPq38MQY2RgUUC_22qdu4YK5tOECts-Gd-rUTgOmUvHpHi9dLnSDypsTm2E-DO0VWKVAWGbT0XyNRlFSF9ZWptamoTEszmdr3oKo2DRRU_s8r4WkYm0pcrvKcK57jKCdd9LpHzm0ZPdi76daHI4ScIXVbzkRyg&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=RXZBUbLaoxwT%2FwvCkyArVw%3D%3D&trk=flagship3_search_srp_jobs
Field Coordinator,Orbis International,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4194879086/?eBP=CwEAAAGV-8MwtBw4FGXa_lg3DGwwDqNdlXYJVV6tSOBwFyoN-64d_uVbgaQXjWhUuSEntCRfL4YuforvwsAPyrmOqa5vo0pQEUqZekqnWosX7gP67z4vJES_15Wa3LosYEdMzLQOBbJGCjD716GVL24dFur6xLo0SnhqonLqt1hPTP7dEiZvME4ySReVSrrzRFTYqX2KtePkaq11dUBe80k_d50qhvEmwa2HvYZQxBzK6QAY7RAcxSeA4K-VKBJ8ORIa_ekw65ywlepDp6O9O6E2Y1ka3PX_bN8sTaT1t7NWJHWAdANS3CoVYIFNL1a7VKxVe_SHKtSMd_jokKylHzNTykPB3GUNEQoVT8Sew8YRZ7mncZLI5IalFUBwN68vl1-0okcgo0oz3to8SXMK6J_W1aUjoYoXEqQ9gHT5cOocw1RGze1beqqnD8mVg2Cl-g-KpE3967J13Oxt5L5OCazcN0UpuapCi5XnOw&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=MBY6DCZkvM74Mp2zj9kWBg%3D%3D&trk=flagship3_search_srp_jobs
"Senior Software Developer, Trading Technology (Query Stack)",BitMEX,EMEA,Remote,https://www.linkedin.com/jobs/view/4193721674/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nuzkY8XMO5xYeO0tkuokAg%3D%3D&trackingId=aZj9F9oWM3DyO7Y18hgG8w%3D%3D&trk=flagship3_search_srp_jobs
Coders - AI Training [Remote],Braintrust,EMEA,Remote,https://www.linkedin.com/jobs/view/4195722292/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=Kz39n63GhteT%2BNuytu7hXQ%3D%3D&trk=flagship3_search_srp_jobs
Cash Service Attendant-for Benishangul Branch,Dashen Bank,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4197888137/?eBP=CwEAAAGV-8vmMaYllEJjSQ7FZYOSr-ukob8z9pkr7evhRBx5HoZw8LCFquDCB37anJYRZoAf5zvFvXVUih7H1FgpPxrMtvaLfqYq4Gkb5Njk-Q7mDNr75HC3RQntIC-IGH-HT2SlX5SKqTlBczExAP6V4LruSUxqlBFp_Rj7ngv9X_ydZKd-QZgI0ZHi3zIpXGmM4ja-BTxiXnxONioOU8MJ1Fn0dNaennN-iCD3uguiyDEPpa-6aIbAxWze8JEAmk1Em6uokzZuL2HFczKT3IuTfgzItPcp1HUe9utCCPN7avM0OARVi9rjt2Qgto9g9SW-BuuZAiyRAO8rUJjDQdV2oAusBtlBDixtcVRLF6tWg_JIc28Ss91wzHxZUEtFwYbI2rvGnLXAox6PX2pkhY0o6EmWV3-MWUXBuCfbFVCoR0zgbpgCLqe44BtB6yXN1c94VhPIhFwH8-37Vw&refId=GBW9lfudawbnL2UbAm3XrQ%3D%3D&trackingId=83IwESivy3e702YpdkOF%2BQ%3D%3D&trk=flagship3_search_srp_jobs
