Job_titles,Hiring_companies,Locations,Job_types,Job_links
Senior Consultant,East Africa Gate (EAGate),"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4199552233/?eBP=CwEAAAGV-8Mps1gfxcUYysXvnTnH-gX0X_1s9TX3z-yfyY9o1vDrKouoVlOXFs_HwxSgn4ReK8gUl2kRbi5U5HyKi3314Ra9PwTD3vyRWHCE7lsYDw_Mmj8hGvgwsWOKEh69yNvOQnRnmddMZoOAspPQqWnfHwDnH-R6y3gUIHo8u6bLKaHY7dX1ldsUgjANPy4Wm0s5SQDrYSXjIShF3HuLg6AwjqrJCXxKO4LE8sSzUeCsrraFGdLAaY8bcYYBz6-lN8ISUxtNJCYEqf5pQXBxYJYX8H8BusQycHxYi32jVzUFIieQxO3KdesF_ql6y2amBHCEfutWs5MQG4Wbxx7EX8A80srLJ5vgfkYREFDGOWOxpbaDANkb-juXKCqdEAjE0skur9S32Kv1d7KYg1Syb0H6WNQFFjY0SVQnsEY2mx4Fj4hR0xpPiacIqvqHWNzwpaAI1t4Lb-jGBVRxPj_02MAjxuREGrNZu6g_dcs&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=ugMkUXWGC%2FSAmLTW383NEQ%3D%3D&trk=flagship3_search_srp_jobs
Cash Service Attendant-for Gambela Branch,Dashen Bank,Ethiopia,On-site,https://www.linkedin.com/jobs/view/4197882731/?eBP=CwEAAAGV-8MpsxqI28t0NoMrfq-DN6NijQtq2rdbUVHiQb81HvERp8q1e4yn0wtoZZ0Q5BBctLLbkPTaobmjZV0a-65Va2J5xNv5Ynt6qEZ5Oqx9uaoioq3RoYWGTJSxQdBwnuoW6DpayjY3p62iZj47acfK_3b3GTVqHWFBCXoMRf9NE2KS6eWPVy6xvIUb0HT0jCKOubPr0wXIP_o4uFsDm2zvUGrpx3zammjhz78Bjgv1A_MGG0kuBi0JaKnfG54grlx6RLCKkV_cAM-NiGcJiKfvtsJ5yxopbUMgTp81bq3ox7hZfS1FzGSJ-dTzbfTsfoyy5JM9EfLqtN8kvDS-Vw0YTnYt0AKkj8AttUXACkgXtw6H9DQcEFywp7XXVTddlKuK4h9PsXoe6CKfIKc6BVmw3iUujx_bEBMcp_rMqEIRLZg5Ur8WxOLATg535YdNGuWZU0qtcMD4PuLzpmB49w&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=mSMPlTtfXoynS3C01oXv5g%3D%3D&trk=flagship3_search_srp_jobs
Network Technician,ethio telecom,"Jijiga, Somali Region, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4199099379/?eBP=CwEAAAGV-8Mps4zYsMUwiiTK8Ic3pxeHoej0r21sG8cfP3YdgUspgxvRUq_Gc4G6pPS5JLPcqODwFxwt61rJv4G3Fb5E-tH6DQay-25RACGPIFSC9oD29XWA-y6RUCvvdcodpDc7J2TCRgVMpsnXJXQecP1V1oYcq_HoFxNfYLWhyH_xsXrYhGVnaKDsdwFnPeUgtbG8Jvs3wK2a0LTiJZczGhHYiPsMh-l56yBrqBnm-0FgFxxSzAdt3mOUISS-66Bty9NLLNhF5kA-bWmJfTu2RdLeNrqyz-TPNjBDlt6vhqkC4WW2YsU-_VO2j6lYRW_pby5yRoxel6YeFFpPp1qlWDowJxYebMeTCkPNW6Y6ApTZ2Zz1Mnb6FD9nwORbHn5bllaZ-EW8NnZuH86W9rvtT3qhJYfYym0u92P2S5mrnmPq3hTMbHmVhCxD9ne_1QQW9RqzGB_l6z--uDuiu2ki3XD_Tfbaueqt4Bx8IAAhqOfY0woWdyV1W6pjY9bdmeGQJ28&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=HRej2LvB49MS0PZDRemvVA%3D%3D&trk=flagship3_search_srp_jobs
Chief Surveyor,Yergalem construction,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197385775/?eBP=CwEAAAGV-8Mps5FUpqk1lZGzKYjjNip6SV1IZBTtQLGgqkHhLYXZFJ41NDRgIcYHCj4Vw5yf4DH9k3gSZXLHib7J8Dv_v-q23vMkWfuPCtPbqvHhlkmpZRApoRDU2PLjhUvGSK_zyhLWZBBCDnXTpPzeIScRNEN0Yl5EPl5nieMU67lWztV2kvakdVOam2AfkboifSo-LFpCef_AFzQU3SzI_FwaQOKYNy_r5fF7pngsVHGwQUwNLXN5PpEnIVY5pRfjFoHLlA63JSgsuPfJmYKrDIbmknpiv4Ged9b96h_k7BK9t3-_iSCqk0fWyEe1w4JAN77c4TpUGYtRUHA9Gfj8xeJOfOqvNAcZV8L6l-q4DuAXP4A8LAZ3Y6gLx3faVl3kaGCEHtgyslyiq_fgZ5krjoXGR6bsS8zyuXnuReEvKk6n3vOWxeTBDgIXX1jKkCkq0jc8LpK4X5k-7TPd5t4&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=AselE2FqF6fi9vln6Ewq5g%3D%3D&trk=flagship3_search_srp_jobs
Volunteer,Eneho_Egna  እነሆ እኛ Podcast,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197052007/?eBP=CwEAAAGV-8Mps3yqJlRBbJ6c8y0ZUmxbCHigtEKg8ZY45rbu9ggwVQ12tlrlZt1_XnvsezARJJNOnuBREA6F1oJFAmn8k8RQNMaV4ZpJmWt4GKj1Xmi-ggvBtOKUz4ZZL5SqbAxvV7SpIQP_2Gwa_rilQ74Tw0VcAW1VcLCH2vmW9nWVFsy6ebaMohFdDr_6LaxNU-gdu8PUrDhDB0HCx7T4V0JI9m8FN1ZGgzfb3_K5Z5mwJAiYaUR5qndG-6yW1WJtVR7oQLwo-K5WiKo3RUCyB5qXdy9adfUL3CDMiMd6YrZ-8koNV6ZOUHTuiUAjeOyw-Mpip_DJS5dgBhXKcbXXHArCKZMs376liveVwqcXBrkFfAoqN5m_1oNZmNJxuKYugx_m25V0V2nypLM8PIZfwzKhK_TIAab2DvxerIrOUl6RN7u7dZR_uczWH7Vx5166IxGunkmgZeNWyCmzqxUrqw&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=UcmbJ%2BnLES8j5MuSny%2Bdag%3D%3D&trk=flagship3_search_srp_jobs
Public Relations Event Specialist,Addis Ababa women's children & social affairs bureau,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4196516953/?eBP=CwEAAAGV-8Mps9MgcEuLGkWPJc2itEqKk1rf8mjHMyms_MSww8REQcNmdrqlCcWb-dlXfokwhozRN7RvQ8UdTRj0QjPTbrVHWk5-etfMrpnJQcwT8sOOfC1xYhXQKXu6bF12TY2PPVpFUh1ymW5i7Z_f1KZVlSxgQRE7RkjB4g3tCaV53d-8dKiFeEQGmzrZkvZBhoMj_HXMBLpxGx3Eqzm51Cvjqhc3qyRoH3l5TL7LiEExOvzd4Mdf8qkbfLRMlFDKydCKWglDmNWvYZVu_z_kNKd9YeItOT2-haX20QFlc7QBuXbcxOQluUZVKGlGpei-WS-S663YEq88JKZlnKikhfhdPhDekycx74LDVM2Qm85GTskSKyMy5ykiCG7yHHrzTIdRvEHsH7q6Zg6capBoOUeNEtEZJBIDg3QoCb-yJCIp_I5DejGWTXDnXy1LbBX9hEYsHfuGn5Uc4TiGk-ruD0oK2aHnRWeXx_uKZJ_i4fAwbKRRUWc2fPhMTVmIVTdO3II&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=6ONo%2FpTSUs8wSw3U2Y8fYw%3D%3D&trk=flagship3_search_srp_jobs
Junior Customer Service Officer - Intern,Sika,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4196080832/?eBP=CwEAAAGV-8Mps7Bm9D8RQ3ZyhMOzw4peywYkFkJMeAGBXyVgmweqpXMlYihBmHS-LylfG-kGI3y6HEZGt_Owrcyks2TDhVNYYL_KPv5AMsVWPcj6BV6Y1KkeMWFiDJfn4svtB4pMMIRQWoOZ4iC2tXH4Y_zGkAUDviYuqp3yUDqEMuHLalxsRnKXfjnPLN9m6vkZq9sFOLcP78X9UKcEQpD4iTJ1X2qoq3pgvhSZdstvGOMErFAwzS4ujlYbEKMUQ9KqFWGCRTTrzpUQQxdg29zlLuNnwbc_bM5cqJj-q3_TnaKE4qFJpX4S1b9O3R83IsLM-kSwOChzseTmfWrafSR4mtsmaRuDvjwMC055UhsIfZvkY-2N2UYDzcb1ZQYH82BWRH5fReyo3yhoBABJ2lKr6CJhbRBlKqXPd1NcUpBQ67vJ8GFWjkqKcww0t3XKIVxJIGThWXhJFIo_JLMuiMy7LnCjOKQ25vys9KLfipCA6U-SJzVl7t8jhJW3cJE7vzPvk3TzgSmnNeBEqbWKvQ&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=eLK%2BYANb9PnBxdcud3RTCw%3D%3D&trk=flagship3_search_srp_jobs
ethics specialist,Ethiotelecom,"Asosa, Benishangul-Gumuz Region, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197041518/?eBP=CwEAAAGV-8Mps0hxypbJOJP6ZRLc9qizD3Ke3t_xP1VFeB30dZMQM8bRbb7K09cn69BYiqFeNutIK-166xfvQ5hV5Y5psWBPzUJONP4-j-AgAanEaSLtXjKv5q2Ljo0ATjnH5q_yIDc260Ea-ZXVNUwS3HeWjmYOMgxBPyoijrVa2iSf6vCiszP_j-hOZhz07y9oo0WIpNvTZxmxUhbyrovX7tYTL2cADJBoP0C6XFTKCMzmaSHcdMSZoVfK_oYlviR_P8mjuDNmGvAd4LOhtM6Ad1ukmuMBTqz2jOGODKNJhDD_Qe0ztJjt_j_OO7SjaNRU3Wl37RxBAz7zqevLd2qZ3sjY-EK71obzbd4Go7_iCjF-th8JU_0kBMwGM25XQ_h4yi54zfSNlPixc_JYt7twszbriUXgVBFc6kP8pcL6-bNZyxHhBtGioSxfmaS7fCU0jTIgo4QGUSNzNL1FVHyxtaMv&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=vfCZBDSJS6%2BOU3pQ%2Bj1NsQ%3D%3D&trk=flagship3_search_srp_jobs
Marketing Specialist,Bestsuppliers.com,Ethiopia,Hybrid,https://www.linkedin.com/jobs/view/4198600973/?eBP=CwEAAAGV-8Mps6S_Uz53I7u_3A2vM9YoJBGA90HQcdqzXhgpN6ScTJAbr07x3cvXBuGg1BaZBpCMPR8_kvNuPg2RT22xiL3PES0PK_qV7qvkqNAoeyc-R_kmQYvQVpEXTgy8lBFzZLLEeo3c44kOvvKKAnV5iBz4r5GZCWP_M8g6vLN5yiE6vQ0QO8lqs97w_Rw0CmZg3nOTVwtdJjFrHq4ufCX9tAp0X8Ge3qhy_5ZOU6tSzCHFATfdTcuZbs7pUAPWNsYuIlwtdx5TKYuflzIAgDpJEBhEIxP8KPSsN6DTU64UjS7UxP53OAt-IvCbymIkw0iRGVS-bcLp5bRwZBo-uNC4eTUWkChWVMKk60kjcfQs_j5uPp7nWMBmUIBqsK1PCRcAPhiYtec9oqitniK7PR-d0mfgvi3wxXA04jXxFX4c3ikLMrAiR2V4_sYQUl_0HMwy1b9dDbm_TBtsiHDYYA&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=%2By1qI1qUylffTHPyWnEKlA%3D%3D&trk=flagship3_search_srp_jobs
Digital Development Specialist - req32527,The World Bank,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4195332493/?eBP=CwEAAAGV-8Mps3HnJlB7jV1ic-cvRvUDtitdxs-H5zbtfIqD7vO2u7-fiPRgh3LfLMLyzTodPpiwPdNf6YkW_aNVGFiQkT_zTDGLAOHKsvh5_nMIXMfufTKsTKCkwGJIcYMflu3AsfQvgE_cMNSF5R6fHEDJsrmCbx8UGEan00Rj1OWT5zTFfAZoxe4gW5tA8YOZQkShqTJ5zCN1_FxwHclJlwUF7RgMvgzQLme2Ka2uayVAAT3wMFZtHk_rMlaj9KjgFGxDmgRBILimr5Gq4CvwZ2YlqGSCf1Dj41f867LNS54KEYKtUhAkknpYyMZQDX757wVBrNHsaqjr5-PH_u1PzNFUGyOTmsDMwa4bvPBHF52IDRTb9qtpO9flyb9Lhxel3_vEn_XP3ErtAS7FzljNismxAi6_jVPGtucE6LfIqLIl176govlezANSNU2lBUnsdP7oU1vdlRbcn5YRdZr1jSWdCwmybhrJiBJ0f11gpbLgwiBFLLAR01TMXfGJzMrJo-qOGiwGmq4sfeVueThuiDw&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=JsNyenHgp8lhSJEak%2BkUuQ%3D%3D&trk=flagship3_search_srp_jobs
